userId,movieId,rating
8937,896,1
2547,156,2
7545,517,1
2364,387,1
8359,263,3
3957,164,4
5025,33,4
5696,455,5
4751,396,2
7697,159,1
2587,631,4
3210,646,1
4973,124,5
9088,23,4
6964,416,4
4222,642,5
3996,777,2
6432,474,4
2291,643,2
2122,771,1
3138,140,3
7377,434,5
4388,245,5
9888,410,3
3261,23,2
8554,233,1
4019,772,4
4701,992,1
9711,324,4
6714,593,3
4117,967,4
8362,941,2
297,543,5
5937,292,4
8871,629,5
4477,451,3
9764,22,1
4896,8,5
9266,255,2
5954,458,4
4225,865,3
2708,912,3
4716,383,3
1401,675,4
6093,727,3
6724,150,5
2908,337,3
9157,791,3
9376,477,1
3691,672,4
3161,122,4
8558,932,1
3328,547,2
17,101,5
3296,229,2
1913,334,2
9996,417,2
4179,379,1
5157,913,2
640,475,2
3533,341,1
3026,659,5
2992,435,3
7553,832,2
6574,67,1
2539,986,4
9953,291,5
7807,806,3
7896,434,2
5000,601,2
2971,716,3
8202,779,1
9216,322,3
8018,485,1
1875,163,2
2930,738,5
4846,853,4
5762,188,5
7566,498,3
4871,144,1
2642,628,5
8028,279,4
3508,277,5
1179,462,4
3607,608,5
173,582,1
2482,360,2
7258,71,3
3587,833,2
4848,465,1
1920,624,2
1544,587,3
8352,817,3
9995,849,4
6971,832,4
7107,246,3
7727,597,5
1337,171,2
8770,24,3
3047,822,1
5967,467,2
6614,722,5
5111,60,4
9757,25,5
8527,764,5
9979,104,2
4790,630,4
4522,854,5
7047,922,4
8441,591,2
1510,998,3
7109,64,1
348,938,5
2793,713,5
2455,635,3
3928,718,1
1925,856,2
9021,273,1
4205,815,2
7241,784,2
636,238,4
7971,543,3
5665,203,1
5440,394,3
6828,717,3
5264,773,5
5141,281,2
366,350,1
9212,249,5
6411,542,1
5592,123,2
824,802,1
5784,350,3
9621,935,4
5848,897,4
6342,785,2
6878,640,3
7877,775,5
6427,180,3
4862,669,1
1653,19,5
9904,943,3
8877,47,4
8508,118,4
4297,398,4
