UserID,MovieID,Rating
877,120,3
148,601,4
3581,467,1
6309,82,1
44,421,3
5248,899,2
2618,412,2
2970,978,1
3747,557,2
4083,960,5
295,207,4
3854,174,3
4246,693,4
1981,473,4
9206,64,1
1070,42,2
806,598,5
1786,788,2
267,264,5
9477,288,2
2020,259,2
2423,582,4
9863,614,1
1356,864,3
215,697,5
8763,451,4
6686,55,1
9993,474,3
4802,904,4
9197,793,4
7157,447,3
8363,344,3
4187,35,2
1522,505,4
1315,163,2
36,992,1
3742,207,4
6351,393,1
2037,996,1
2621,269,5
8600,442,2
4809,259,4
2621,451,5
8927,403,1
4266,895,4
2546,313,2
9454,169,3
7501,398,3
8905,103,2
6156,672,1
5901,85,2
588,447,2
2029,169,2
2417,391,4
5006,392,4
5348,315,5
2283,271,2
6327,354,2
5602,680,4
5441,144,5
4207,973,4
544,383,5
7479,283,4
9223,992,4
3529,280,1
5913,335,3
9052,279,2
7577,762,5
3411,368,3
7928,967,5
215,192,4
7419,297,1
5286,403,1
3993,763,4
1254,241,4
6885,545,5
6548,138,3
7661,376,2
1103,124,5
4337,889,3
6045,421,1
7097,490,2
450,80,2
8243,967,1
7386,542,5
2580,124,1
2803,983,5
7547,700,1
7911,371,3
8237,388,1
5327,969,2
1353,817,3
9134,590,1
5445,744,2
6864,589,4
1539,877,3
3194,266,5
3630,167,2
8021,330,2
1923,816,2
4685,457,3
666,382,2
1813,820,2
8908,553,1
4944,734,2
2707,41,4
2288,57,4
8459,835,3
5656,59,5
6771,201,2
9593,975,4
3101,258,5
3691,296,3
8438,784,4
7986,449,2
9982,685,3
7160,931,1
9123,444,4
6324,96,5
1062,496,5
8524,313,2
5144,674,1
8294,53,1
1852,37,1
6661,845,5
7785,324,3
2866,648,5
5652,235,4
3999,906,1
3606,632,1
2414,934,3
3639,58,2
1098,722,1
5576,749,3
3411,766,1
6845,68,3
4268,63,2
2134,772,3
1512,63,5
5820,860,5
9416,999,5
58,345,4
7651,845,4
4254,735,2
5562,344,1
845,961,3
5198,612,3
5452,719,3
4482,610,4
3630,683,2
2434,311,3
1359,276,1
9214,111,5
6922,415,1
5452,272,1
6423,76,4
3809,578,2
8397,681,4
8420,785,2
9677,663,2
